ID,Organizadora,Cargo,Ano,Materia,Assunto,Enunciado,Gabarito,URL
1,"CEBRASPE (CESPE)","Ana Leg (CM Maceió)",2024,"","","Com relação à definição, aos objetivos, aos componentes e às limitações de efetividade do controle interno, julgue o item a seguir. O controle interno é um processo que contempla o plano da organização, acompanhado de métodos e medidas destinados a conduzi-la com segurança para o atingimento de seus objetivos empresariais.",Certo,"www.tecconcursos.com.br/questoes/2934924"
2,"CEBRASPE (CESPE)","Ana Leg (CM Maceió)",2024,"","","Em relação a conceito, tipos e formas de controle, bem como a controles interno e externo, julgue o item a seguir. O controle interno, que pode ser realizado pelo Poder Executivo, é também uma espécie de controle administrativo.",Certo,"www.tecconcursos.com.br/questoes/2934950"
3,"CEBRASPE (CESPE)","Ap Leg (CM Maceió)",2024,"","","No que se refere aos controles interno e externo, julgue o item que se segue. O controle interno é exercido pelo próprio órgão que realiza a atividade administrativa.",Certo,"www.tecconcursos.com.br/questoes/2935694"
4,"CEBRASPE (CESPE)","AFM (Pref Fortaleza)",2023,"","","Acerca do federalismo fiscal e do controle dos recursos públicos, julgue o item a seguir. Haja vista a complexidade das estruturas político-sociais de um país, o controle do gasto público deve restringir-se ao controle institucional, sem a participação social.",Errado,"www.tecconcursos.com.br/questoes/2588991"
5,"CEBRASPE (CESPE)","Ana (PGE RJ)",2022,"","","Julgue o item que se segue, acerca dos papéis de trabalho do auditor e do conjunto de regras e princípios que devem ser seguidos pela auditoria e pelo controle interno. Não se admite controle prévio na administração pública.",Errado,"www.tecconcursos.com.br/questoes/1990168"
6,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Julgue o item a seguir, quanto ao conceito, aos tipos e às formas de controle. No exercício de suas funções, a administração pública se sujeita ao controle executado pelos Poderes Legislativo e Judiciário, além de ela mesma exercer o controle sobre os próprios atos.",Certo,"www.tecconcursos.com.br/questoes/2007508"
7,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Julgue o item a seguir, quanto ao conceito, aos tipos e às formas de controle. O Congresso Nacional e o Senado Federal detêm competência privativa para apreciar a priori os atos do Poder Executivo.",Errado,"www.tecconcursos.com.br/questoes/2007509"
8,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Acerca dos controles interno e externo, julgue o item subsecutivo. O controle externo é aquele desempenhado por órgão apartado do controlado, tendo por finalidade a efetivação de mecanismos para garantir a plena eficácia das ações de gestão governamental.",Certo,"www.tecconcursos.com.br/questoes/2007511"
9,"CEBRASPE (CESPE)","TCE (TCE RJ)",2022,"","","Acerca dos controles interno e externo, julgue o item subsecutivo. O sistema de controle externo é hierarquicamente superior ao sistema de controle interno.",Errado,"www.tecconcursos.com.br/questoes/2007512"
10,"CEBRASPE (CESPE)","Sub Proc (MPCM PA)",2022,"","","Acerca do controle externo, assinale a opção correta.",C,"www.tecconcursos.com.br/questoes/2082878"
11,"CEBRASPE (CESPE)","Proc (MP TCE-SC)",2022,"","","Julgue o item subsequente, que dizem respeito à execução da despesa pública, à repartição de receitas tributárias, ao controle externo e a subsídios. As decisões judiciais que têm assegurado ao tribunal de contas, no exercício de sua competência fiscalizatória em relação à renúncia de receitas pelo Estado, acesso a informações fiscais sigilosas assentam que descabe ao fisco obstaculizar o controle externo.",Certo,"www.tecconcursos.com.br/questoes/2156917"
12,"CEBRASPE (CESPE)","TAA (MP TCE-SC)",2022,"","","A União celebrou convênio administrativo com um estado da Federação, visando ao repasse de recursos públicos federais para a execução de determinada política pública. Diante disso, o tribunal de contas daquele estado passou a controlar os gastos dos recursos repassados. Acerca dessa situação hipotética, julgue o item que se segue. O controle financeiro efetuado pelo tribunal de contas estadual na aplicação dos recursos mencionados configura exercício do controle administrativo interno.",Errado,"www.tecconcursos.com.br/questoes/2159445"
13,"CEBRASPE (CESPE)","TCP (MP TCE-SC)",2022,"","","Em relação ao conceito, aos tipos e às formas de controle, julgue o item a seguir. Direito de petição, reclamação e recursos administrativos são exemplos de instrumentos de controle externo utilizados mediante provocação.",Certo,"www.tecconcursos.com.br/questoes/2159534"
14,"CEBRASPE (CESPE)","TCP (MP TCE-SC)",2022,"","","Em relação ao conceito, aos tipos e às formas de controle, julgue o item a seguir. Os meios de controle administrativo são divididos em fiscalização hierárquica e recursos administrativos.",Certo,"www.tecconcursos.com.br/questoes/2159535"
15,"CEBRASPE (CESPE)","TCP (MP TCE-SC)",2022,"","","Julgue o item que se segue, no que se refere ao controle externo. O controle externo é exercido no âmbito do próprio órgão ou poder responsável pela atividade controlada.",Errado,"www.tecconcursos.com.br/questoes/2159538"
16,"CEBRASPE (CESPE)","Proc (MPTC DF)",2021,"","","Acerca de controle externo e legislação institucional, julgue o item seguinte. No Brasil, os controles externos exercidos pelos tribunais de contas são realizados, em sua grande maioria, a posteriori.",Certo,"www.tecconcursos.com.br/questoes/1545531"
17,"CEBRASPE (CESPE)","Proc (MPTC DF)",2021,"","","Acerca de controle externo e legislação institucional, julgue o item seguinte. O controle parlamentar direto, o controle exercido pelos tribunais de contas e o controle judicial podem ser considerados espécies do gênero controle externo.",Certo,"www.tecconcursos.com.br/questoes/1545533"
18,"CEBRASPE (CESPE)","AUD (TC DF)",2021,"","","Considerando os princípios básicos de auditoria no âmbito do setor público, julgue o item a seguir. É vedado aos servidores de tribunais de contas exercer cargos de gestão em entidades sob a supervisão do tribunal onde esses servidores trabalham, ainda que as entidades não estejam sob fiscalização durante o exercício do cargo.",Certo,"www.tecconcursos.com.br/questoes/1784150"
19,"CEBRASPE (CESPE)","Ana Min (MPC TCE-PA)",2019,"","","A forma de controle cuja finalidade consiste na verificação da conformidade dos procedimentos administrativos com as disposições normativas é denominada controle",B,"www.tecconcursos.com.br/questoes/972910"
20,"CEBRASPE (CESPE)","Proc C (MPC TCE-PA)",2019,"","","A respeito do controle da administração pública, assinale a opção correta.",E,"www.tecconcursos.com.br/questoes/974708"
